Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Image,Hi-Res Image,Width (in Inches),Height (in Inches),Medium / Material,Price (in USD),Availability,Short Description or Notes,"Full Description, Information, or Custom Content",Recognition,Collection,Order,Feature on Homepage?,Featured Video,Featured Video On?
A Shrine,a-shrine,632b56d98acca70c72830aa4,632b56d98acca76ff2830b34,Wed Aug 03 2022 14:32:53 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 19:38:02 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea86de8c078169c9bb1f58_Jerome_Tupa_A_Shrine_63x76.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8b58e93adc1ccb5648da_Jerome_Tupa_A_Shrine_63x76.jpg,62,76,,,,,,,,,false,,false
Adonis,adonis,632b56d98acca70c72830aa4,632b56d98acca74abe830b36,Wed Aug 03 2022 14:53:40 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:07:27 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8be0debf3e467d0bd048_Jerome_Tupa_Adonis_86x82.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8be49bacb84198c19003_Jerome_Tupa_Adonis_86x82.jpg,86,82,Oil on Canvas,,,,"<p id="""">This painting depicts a young man enthroned partially dressed but displaying his manhood. The privileged status of a man is evident in his posturing. This man represents the new twenty-first century “David”.</p>",,adonis,,false,,false
Adonis 2,adonis-2,632b56d98acca70c72830aa4,632b56d98acca7dcab830b35,Wed Aug 03 2022 14:52:40 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:07:34 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8b9d44e58a41ff002031_Jerome_Tupa_Adonis_2_70x72.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8ba01d124a23ef611419_Jerome_Tupa_Adonis_2_70x72.jpg,70,72,Oil on Canvas,,,,"<p id="""">In a series of paintings using the torsos of men and women the artist shows the beauty of the human body, our touch of the Divine. At the same time I suggest that we are subjected by our society to dismemberment and violence because of sin. Underlining beauty are the terrible struggles man and woman must undergo.</p>",,adonis,,false,,false
"Agora, Athens",agora-athens,632b56d98acca70c72830aa4,632b56d98acca779de830b39,Wed Aug 03 2022 14:54:36 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:41:06 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8c190d098543f1e17e6b_Jerome_Tupa_Agora_Athens_16x13.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8c1caf55924b7c1206fe_Jerome_Tupa_Agora_Athens_16x13.jpg,16,13,Watercolor,,,,,,pilgrimage-to-the-holy-lands,,false,,false
Al Hambra,al-hambra,632b56d98acca70c72830aa4,632b56d98acca7f4c4830b3a,Wed Aug 03 2022 14:55:10 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 14:55:10 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8c3a7af19a5c87cc5a9c_Jerome_Tupa_Al_Hambra_1_19x14.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8c3e7dd201732eb52ce3_Jerome_Tupa_Al_Hambra_1_19x14.jpg,19,14,,,,,,,,,false,,false
Alhambra,alhambra,632b56d98acca70c72830aa4,632b56d98acca7e41a830b3c,Wed Aug 03 2022 14:58:02 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:50:40 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8ceb83543e9c1eb4c039_Jerome_Tupa_Alhambra_64x59.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8ced7a1891e32fa77ceb_Jerome_Tupa_Alhambra_64x59.jpg,64,59,Oil on Canvas,,,,"<p id="""">“The Alhambra is a palace and fortress complex located in Granada, Andalusia, Spain. It is one of the most famous monuments of Islamic architecture and one of the best-preserved palaces of the historic Islamic world, in addition to containing notable examples of Spanish Renaissance architecture.” <a href=""https://en.wikipedia.org/wiki/Alhambra"" id="""">Wikipedia</a> In this work I used many of the sketches and watercolors that I created while in Granada.</p>",,road-to-rome,,false,,false
Apocalypse 1,apocalypse-1,632b56d98acca70c72830aa4,632b56d98acca78044830b3d,Wed Aug 03 2022 14:58:48 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:19:59 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d125bd878df98415d5b_Jerome_Tupa_Apocalypse_1_70x87.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d147a1891562fa77dff_Jerome_Tupa_Apocalypse_1_70x87.jpg,70,87,Oil on Canvas,,,,"<p id="""">One of two paintings with horsemen of the apocalypse.</p>",,,,false,,false
Apocalypse 2,apocalypse-2,632b56d98acca70c72830aa4,632b56d98acca7239a830b3e,Wed Aug 03 2022 14:59:22 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:20:10 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d37edb0827d8ef2fcff_Jerome_Tupa_Apocalypse_2_70x87.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d3910309c15ac444227_Jerome_Tupa_Apocalypse_2_70x87.jpg,70,87,Oil on Canvas,,,,"<p id="""">One of two paintings with horsemen of the apocalypse. Created because of the dynamic relationship between the horsemen, their steeds and the viewer.</p>",,,,false,,false
Archangel Shrine,archangel-shrine,632b56d98acca70c72830aa4,632b56d98acca7d5b2830b3f,Wed Aug 03 2022 15:00:14 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 15:00:14 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d6410309c01214445d4_Jerome_Tupa_Archangel_Shrine_82x86.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d67131e4219991945dc_Jerome_Tupa_Archangel_Shrine_82x86.jpg,82,86,,,,,,,,,false,,false
Assisi Basilica of St. Francis,assisi-basilicata,632b56d98acca70c72830aa4,632b56d98acca72fba830b40,Wed Aug 03 2022 15:01:23 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:20:58 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d8f4b368523505c2742_Jerome_Tupa_Assissi_Basilicata_Print_27x32.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8d948c0781257abb73bb_Jerome_Tupa_Assissi_Basilicata_Print_27x32.jpg,27,32,Print,,,,"<p id="""">With vivid colors this rendition of the famous Convent/basilica in Assisi was part of the “Road to Rome” series that was exhibited in 4 major venues; Pope John-Paul II Cultural Center, Washington D.C., Catholic Art Museum, New York City, Marshal Fields, Chicago, Il.</p>",,,,false,,false
Athens Agora,athens-agora,632b56d98acca70c72830aa4,632b56d98acca77684830b41,Wed Aug 03 2022 15:08:58 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:13:29 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8dce700b633834631469_Jerome_Tupa_Athens_Agora_16x13.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8dd290a560236a2046d9_Jerome_Tupa_Athens_Agora_16x13.jpg,16,13,Watercolor,,,,,,,,false,,false
"Athens Cathedral, Greece",athens-cathedral-greece,632b56d98acca70c72830aa4,632b56d98acca7213c830bef,Wed Aug 03 2022 17:22:11 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:49:10 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaaeaf236e966de7e2842c_Jerome_Tupa_Greece_Athens_Cathedral_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaaeb25b1b2ccf94534acf_Jerome_Tupa_Greece_Athens_Cathedral_30x23.jpg,30,23,,,,,,,pilgrimage-to-the-holy-lands,,false,,false
Athens Old and New,athens-old-and-new,632b56d98acca70c72830aa4,632b56d98acca7295a830b42,Wed Aug 03 2022 15:10:22 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:42:43 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8fc055a4e66f29a6415c_Jerome_Tupa_Athens_Old_And_New_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8fc39c9dd4692f2a09df_Jerome_Tupa_Athens_Old_And_New_30x23.jpg,30,23,Watercolor,,,,,,pilgrimage-to-the-holy-lands,,false,,false
Aventino,aventino,632b56d98acca70c72830aa4,632b56d98acca7eaa5830b43,Wed Aug 03 2022 15:11:07 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 19:56:54 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8ff1eaebaf26a88883f5_Jerome_Tupa_Aventino_31x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea8ff3f013230b26c0ae07_Jerome_Tupa_Aventino_31x23.jpg,31,23,Watercolor,,,,,,,,false,,false
Barbazon,barbazon,632b56d98acca70c72830aa4,632b56d98acca7dcdc830b44,Wed Aug 03 2022 15:12:04 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 19:57:10 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea901f083f302e673091ea_Jerome_Tupa_Barbazon_31x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea90221d124a66ee614b5a_Jerome_Tupa_Barbazon_31x23.jpg,31,23,Watercolor,,,,,,,,false,,false
"Basilica Facade & Apse, Lucca, Italy",basilica-facade-apse-lucca-italy,632b56d98acca70c72830aa4,632b56d98acca732be830c21,Thu Aug 04 2022 14:37:57 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:56:54 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebd9a336313d3b6b5ca430_Jerome_Tupa_Lucca_Italy_Basilica_Facade_and_Apse_93x42.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebd9a5fea76e6ca893ccc1_Jerome_Tupa_Lucca_Italy_Basilica_Facade_and_Apse_93x42.jpg,93,42,,,,,,,road-to-rome,,false,,false
"Basilica & Fountain, Saint Benoit Sur Loire, France",basilica-fountain-saint-benoit-sur-loire-france,632b56d98acca70c72830aa4,632b56d98acca70fb3830ca9,Thu Aug 04 2022 17:49:10 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 17:49:10 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec0628265e6a1841933d72_Jerome_Tupa_St_Benoit_Sur_Loire_France_Basilica_and_Fountain_40x59.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec062b813006cb5fa8c2b6_Jerome_Tupa_St_Benoit_Sur_Loire_France_Basilica_and_Fountain_40x59.jpg,40,59,,,,,,,,,false,,false
"Bell Tower of San Diego, California",bell-tower-of-san-diego-california,632b56d98acca70c72830aa4,632b56d98acca7da48830b45,Wed Aug 03 2022 15:12:56 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:21:52 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea90557f1c153460f9ddd7_Jerome_Tupa_Bell_Tower_of_San_Diego_California_22x31.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea90587dd201c1d4b55845_Jerome_Tupa_Bell_Tower_of_San_Diego_California_22x31.jpg,22,31,Guache,,,,"<p id="""">From the California Mission series featured in the book; An Uncommon Mission. And displayed at the Getty Gallery of the Los Angeles Public Library, The Historical Museum of Santa Barbara, the History Museum of San Diego and the Fresno Fine Art Museum. These exhibits featured paintings and watercolors of all 21 missions in California.</p>",,,,false,,false
Bellevue 2,bellevue-2,632b56d98acca70c72830aa4,632b56d98acca70031830b46,Wed Aug 03 2022 15:15:06 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 15:15:06 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea908c8c078121f0bba49d_Jerome_Tupa_Bellevue_2_22x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea908fc8ad8d176b044f74_Jerome_Tupa_Bellevue_2_22x30.jpg,22,30,,,,,,,,,false,,false
Bellevue 3,bellevue-3,632b56d98acca70c72830aa4,632b56d98acca779fc830b47,Wed Aug 03 2022 15:17:43 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 15:17:43 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea91877dd20145ebb55ea2_Jerome_Tupa_Bellevue_3_22x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea918a1d124a30bb615b57_Jerome_Tupa_Bellevue_3_22x30.jpg,22,30,,,,,,,,,false,,false
"Blue Arches, Montova",blue-arches-montova,632b56d98acca70c72830aa4,632b56d98acca7743b830b62,Wed Aug 03 2022 15:18:32 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 15:18:32 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea91a4758eea15930950c7_Jerome_Tupa_Blue_Arches_Mantova_30x21.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea91a6adabec79ed061179_Jerome_Tupa_Blue_Arches_Mantova_30x21.jpg,30,21,,,,,,,,,false,,false
"Blue Mosque, Istanbul",blue-mosque-istanbul,632b56d98acca70c72830aa4,632b56d98acca733db830c03,Wed Aug 03 2022 17:33:32 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:52:04 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eab1588192a822f1852475_Jerome_Tupa_Istanul_Blue_Mosque_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eab15afd22d4c90b490e13_Jerome_Tupa_Istanul_Blue_Mosque_30x23.jpg,30,23,,,,,,,pilgrimage-to-the-holy-lands,,false,,false
Bob Shairqi,bob-shairqi,632b56d98acca70c72830aa4,632b56d98acca76991830bb0,Wed Aug 03 2022 16:28:37 GMT+0000 (Coordinated Universal Time),Tue Oct 11 2022 16:48:00 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa21310309c732b454899_Jerome_Tupa_Damascus_Bob_Shairqi_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62eaa215a0f502e13c277059_Jerome_Tupa_Damascus_Bob_Shairqi_30x23.jpg,30,23,Watercolor,,,"Damascus, Syria",<p>The series of paintings and watercolors from cities and landscapes in the region of the Middle East; Constantinople to Cairo. This piece represents the biblical passage where Paul escapes from violence and possible death by being lowered from a house on the wall in a basket.</p>,,pilgrimage-to-the-holy-lands,,false,,false
Bouquet and Red Carpet,bouquet-and-red-carpet,632b56d98acca70c72830aa4,632b56d98acca737c5830b68,Wed Aug 03 2022 15:19:13 GMT+0000 (Coordinated Universal Time),Wed Aug 03 2022 15:19:13 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea91d8156de87d9bb7a018_Jerome_Tupa_Bouquet_and_Red_Carpet_30x39.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea91ddb102af11bee2c225_Jerome_Tupa_Bouquet_and_Red_Carpet_30x39.jpg,30,39,,,,,,,,,false,,false
Broken Stems,broken-stems,632b56d98acca70c72830aa4,632b56d98acca75477830b69,Wed Aug 03 2022 15:19:47 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 19:59:27 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea92089d12252b5cee9e8c_Jerome_Tupa_Broken_Stems_43x69.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea920a7722a5c84ee6ca68_Jerome_Tupa_Broken_Stems_43x69.jpg,43,69,Oil on Canvas,,,,,,,,false,,false
Cahors,cahors,632b56d98acca70c72830aa4,632b56d98acca71a86830b6a,Wed Aug 03 2022 15:20:23 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 20:00:02 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea9221564c42d50884943b_Jerome_Tupa_Cahors_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea9223925c8b49c70f01de_Jerome_Tupa_Cahors_30x23.jpg,30,23,Watercolor,,,"Cahors, France",,,,,false,,false
"Cahors, France, From Henry IV's Courtyard",cahors-france-from-henry-ivs-courtyard,632b56d98acca70c72830aa4,632b56d98acca711fe830b6b,Wed Aug 03 2022 15:22:00 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 18:51:18 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea9247b102af7979e2c542_Jerome_Tupa_Cahors_France_From_Henry_IV%E2%80%99s_Courtyard_88x42.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea924a156de8ded1b7a541_Jerome_Tupa_Cahors_France_From_Henry_IV%E2%80%99s_Courtyard_88x42.jpg,88,42,Oil on Canvas,,,,"<p id="""">“Painting the Pilgrimage; from the Paris to Compostela”. Paintings and watercolors were exhibited at the Naples Philharmonic Museum of Art. I painted the watercolors and sketched while traveling from Paris to Compostela in Spain. The most famous pilgrimage route for Christians since the 9<sup id="""">th</sup> Century. Pilgrims have used many different modes of transport to make this long and arduous trek, often from places as far away as Sweden or Eastern Europe.</p>",,road-to-rome,,false,,false
Cahors Medieval Bridge 3,cahors-medieval-bridge-3,632b56d98acca70c72830aa4,632b56d98acca781d5830b6c,Wed Aug 03 2022 15:24:01 GMT+0000 (Coordinated Universal Time),Tue Aug 16 2022 20:00:59 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea92d27722a572c6e6d29d_Jerome_Tupa_Cahors_Medievel_Bridge_3_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea92d410309c74fe4473c0_Jerome_Tupa_Cahors_Medievel_Bridge_3_30x23.jpg,30,23,Watercolor,,,,,,,,false,,false
California Missions,california-missions,632b56d98acca70c72830aa4,632b56d98acca741e7830b6d,Wed Aug 03 2022 15:25:15 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 19:04:36 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea934a9bacb8f581c1e579_Jerome_Tupa_California_Missions_88x59_2_panels_40x46_48x59.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea934e83543e87fcb4f1ba_Jerome_Tupa_California_Missions_88x59_2_panels_40x46_48x59.jpg,40,46,Watercolor,,,,,,,,false,,false
"California Missions, San Fernando",california-missions-san-fernando,632b56d98acca70c72830aa4,632b56d98acca77f25830b6e,Wed Aug 03 2022 15:29:37 GMT+0000 (Coordinated Universal Time),Wed Sep 21 2022 19:04:31 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea9451adabecd96a0633b7_Jerome_Tupa_California_Missions_San_Fernando_86x62.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea9457925c8b41e50f194b_Jerome_Tupa_California_San_Fernando_86x62.jpg,86,62,Oil on Canvas,,,Described in the California Mission exhibits.,,,,,false,,false
Cannes Scapes 10,cannes-scapes-10,632b56d98acca70c72830aa4,632b56d98acca78ea4830b73,Wed Aug 03 2022 15:40:59 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:27:10 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea96f83733b45ef1cec8d9_Jerome_Tupa_Cannes_Scapes_10_31x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea96fb7dd2012d54b5a02a_Jerome_Tupa_Cannes_Scapes_10_31x23.jpg,31,23,,,,,<p>This series of paintings abstractly capture the atmosphere of sun and sea. These works are all free expressions of my time in the south of France and the effects of intense sunlight on all of the surrounding landscape.</p>,,,,false,,false
Cannes Scapes 11,cannes-scapes-11,632b56d98acca70c72830aa4,632b56d98acca7f210830b75,Wed Aug 03 2022 15:42:11 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:27:17 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea971c5bd878b43941eae9_Jerome_Tupa_Cannes_Scapes_11_25x20.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea971fe93adc36c156cb9c_Jerome_Tupa_Cannes_Scapes_11_25x20.jpg,25,20,,,,,<p>This series of paintings abstractly capture the atmosphere of sun and sea. These works are all free expressions of my time in the south of France and the effects of intense sunlight on all of the surrounding landscape.</p>,,,,false,,false
Cannes Scapes 6,cannes-scapes-6,632b56d98acca70c72830aa4,632b56d98acca75ff3830b6f,Wed Aug 03 2022 15:31:35 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:26:32 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea948b7af19a8aceccae9b_Jerome_Tupa_Cannes_Scapes_6.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea948d0383f88f5a3fbd32_Jerome_Tupa_Cannes_Scapes_6.jpg,31,23,Watercolor,,,,"<p id="""">This series of paintings abstractly capture the atmosphere of sun and sea. These works are all free expressions of my time in the south of France and the effects of intense sunlight on all of the surrounding landscape.</p>",,,,false,,false
Cannes Scapes 7,cannes-scapes-7,632b56d98acca70c72830aa4,632b56d98acca72025830b70,Wed Aug 03 2022 15:39:28 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:26:51 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea966edbd70f192fa976dd_Jerome_Tupa_Cannes_Scapes_7_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea9671bbc78249c8669e7f_Jerome_Tupa_Cannes_Scapes_7_30x23.jpg,30,23,,,,,<p>This series of paintings abstractly capture the atmosphere of sun and sea. These works are all free expressions of my time in the south of France and the effects of intense sunlight on all of the surrounding landscape.</p>,,,,false,,false
Cannes Scapes 8,cannes-scapes-8,632b56d98acca70c72830aa4,632b56d98acca79196830b71,Wed Aug 03 2022 15:40:00 GMT+0000 (Coordinated Universal Time),Tue Sep 20 2022 15:26:39 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea96bbdc707572bc21710f_Jerome_Tupa_Cannes_Scapes_8_22x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ea96bf51641df556115381_Jerome_Tupa_Cannes_Scapes_8_22x30.jpg,22,30,,,,,<p>This series of paintings abstractly capture the atmosphere of sun and sea. These works are all free expressions of my time in the south of France and the effects of intense sunlight on all of the surrounding landscape.</p>,,,,false,,false
