Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Image,Hi-Res Image,Width (in Inches),Height (in Inches),Medium / Material,Price (in USD),Availability,Short Description or Notes,"Full Description, Information, or Custom Content",Recognition,Collection,Order,Feature on Homepage?,Featured Video,Featured Video On?
Song of Songs,song-of-songs,632b56d98acca70c72830aa4,632b56d98acca76b07830c8f,Thu Aug 04 2022 16:06:07 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 16:06:07 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebee6620ab64faef628012_Jerome_Tupa_Song_of_Songs_86x108.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebee68a4bfb2617d5d9ad0_Jerome_Tupa_Song_of_Songs_86x108.jpg,86,108,,,,,,,,,false,,false
"Sonoma, California",sonoma-california,632b56d98acca70c72830aa4,632b56d98acca7fda4830c90,Thu Aug 04 2022 16:06:33 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 16:06:33 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebee7abf75bb03aac55afb_Jerome_Tupa_Sonoma_California_20x15.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebee7ca4bfb23a4f5d9b84_Jerome_Tupa_Sonoma_California_20x15.jpg,20,15,,,,,,,,,false,,false
Southwest France,southwest-france,632b56d98acca70c72830aa4,632b56d98acca70281830cb3,Thu Aug 04 2022 17:54:29 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 17:54:29 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec07c5fea76eb2a695fb0f_Jerome_Tupa_SW_France_30x23.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec07c7eb86d31ad07bf096_Jerome_Tupa_SW_France_30x23.jpg,30,23,,,,,,,,,false,,false
Spiritscape 1,spiritscape-1,632b56d98acca70c72830aa4,632b56d98acca7c5f8830c92,Thu Aug 04 2022 16:07:35 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 16:07:35 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebeebf1cef28ef59f9d281_Jerome_Tupa_Spiritscape_1_22x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebeec07adc45db8b6187ff_Jerome_Tupa_Spiritscape_1_22x30.jpg,22,30,,,,,,,,,false,,false
Spiritscape 2,spiritscape-2,632b56d98acca70c72830aa4,632b56d98acca738f4830c93,Thu Aug 04 2022 16:07:58 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 16:07:58 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebeed169091cd206ffd2ef_Jerome_Tupa_Spiritscape_2_22x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebeed3f07bcbe79395a4f1_Jerome_Tupa_Spiritscape_2_22x30.jpg,22,30,,,,,,,,,false,,false
Spiritscape 3,spiritscape-3,632b56d98acca70c72830aa4,632b56d98acca7bece830c94,Thu Aug 04 2022 16:08:18 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 16:08:18 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebeee7861f6f9c9cdbc3c5_Jerome_Tupa_Spiritscape_3_22x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebeee9e73b13e762633632_Jerome_Tupa_Spiritscape_3_22x30.jpg,22,30,,,,,,,,,false,,false
Spiritscape 4,spiritscape-4,632b56d98acca70c72830aa4,632b56d98acca7e3e9830c96,Thu Aug 04 2022 16:08:39 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 17:32:00 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebeefb7ba90095b8464b4a_Jerome_Tupa_Spiritscape_4_22x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ebeefdc6337e102c172b48_Jerome_Tupa_Spiritscape_4_22x30.jpg,22,30,,,,,,,,,false,,false
Spiritscape 5 ,spiritscape-5,632b56d98acca70c72830aa4,632b56d98acca7c27e830c97,Thu Aug 04 2022 17:31:53 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 17:31:53 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec026dc09ba30fa203c85b_Jerome_Tupa_Spiritscape_4_59x48.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec027070deca57602ecca9_Jerome_Tupa_Spiritscape_4_59x48.jpg,59,48,,,,,,,,,false,,false
Spiritscape 6,spiritscape-6,632b56d98acca70c72830aa4,632b56d98acca7d26b830c98,Thu Aug 04 2022 17:32:40 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 17:32:40 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec029f259179644a4c43f2_Jerome_Tupa_Spiritscape_5_22x30.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec02a332e6656a32eaee90_Jerome_Tupa_Spiritscape_5_22x30.jpg,22,30,,,,,,,,,false,,false
Spiritscape 7,spiritscape-7,632b56d98acca70c72830aa4,632b56d98acca71022830c99,Thu Aug 04 2022 17:33:14 GMT+0000 (Coordinated Universal Time),Thu Aug 04 2022 17:33:14 GMT+0000 (Coordinated Universal Time),Thu Oct 03 2024 02:38:25 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec02c617fa6350b77862e1_Jerome_Tupa_Spiritscape_5_60x69.jpg,https://uploads-ssl.webflow.com/62b4e6d24c3ed069cd0b4805/62ec02c8bf75bb57a5c65655_Jerome_Tupa_Spiritscape_5_60x69.jpg,60,69,,,,,,,,,false,,false
